# BEAST v1.10.5 Prerelease #23570d1
# Generated Mon Oct 21 16:01:16 CEST 2019 [seed=1571666328474]
# -window -working -options
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	tmrca(node1)	tmrca(node10)	tmrca(node2)	tmrca(node3)	tmrca(node4)	tmrca(node5)	tmrca(node6)	tmrca(node7)	tmrca(node8)	tmrca(node9)	yule.birthRate	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	speciation
24000	-33831.880451641424	-5.4109707288231	-33826.4694809126	0.5100095811955723	4.1831509992955205	0.0736449591427972	0.4710820534845629	0.11695333287496548	0.15493347717219058	0.12899170805008853	0.2074557942670007	0.22961705969358584	0.3974771678557768	0.4789660150095697	0.3727785216595237	3.5006276637526716	0.9881574857741924	1.1361195503110437	0.8899267280943339	0.9291769955670856	1.1483443304275367	0.9082749098258074	0.3698706034705898	0.19628207378366702	0.16758837461899437	0.2662589481267488	0.49292212043835026	1.0	1.0	-33826.4694809126	0.0	1.6445955941452168
25000	-33827.205513538065	-4.951897677810307	-33822.25361586025	0.5046892675669923	4.091039930104608	0.06502833919257983	0.4679361236529415	0.1051905597213067	0.14442186645287955	0.12927380363954724	0.20480363471744492	0.23176259363224058	0.3930979553612418	0.4677605767866209	0.3525778791942904	2.8366184465278472	0.9877114370932674	1.1376519414020696	0.8734582554236439	0.9379494054066957	1.1549540508485157	0.9082749098258074	0.3702962070978532	0.19305029447817615	0.16133150742985983	0.27532199099411075	0.527782310896576	1.0	1.0	-33822.25361586025	0.0	1.9492451824682115
26000	-33825.91044266275	-5.662929076140104	-33820.24751358661	0.529033974824184	4.316297045518269	0.06847798518402375	0.48723317221495444	0.11494744880972205	0.15996023346803095	0.13472517027644398	0.22379053345781896	0.23978247666165084	0.4103158118435244	0.4975327540355695	0.3809437856769954	2.37107042947838	0.9803987556110554	1.1401058501148988	0.8721200285193357	0.947219533232357	1.1562922777528237	0.9038635547695288	0.3703915211360287	0.19615322061184493	0.1659118916430809	0.26754336660904543	0.49103536820084315	1.0	1.0	-33820.24751358661	0.0	0.9891953559709812
27000	-33816.5437399361	-5.057119984470889	-33811.48661995163	0.5066932826207675	4.124222192515076	0.07211662695087531	0.4642942416535072	0.11720362463587256	0.15671099600689314	0.12624186908793592	0.21078225450688248	0.22201060379382134	0.3898260397489859	0.455990890139311	0.37187207890989826	2.5710696493607985	0.9562827407834559	1.1662509118931945	0.8571681859362374	0.971869076921895	1.1562922777528237	0.892136806712393	0.3703915211360287	0.19425625978889963	0.1685465390414927	0.2668056800335789	0.49103536820084315	1.0	1.0	-33811.48661995163	0.0	1.6725237314315735
28000	-33807.74227942493	-5.842215463549838	-33801.90006396138	0.5116736023444182	4.1146942045920385	0.06950725641839328	0.46176190825987484	0.10185193366705003	0.15933822803354572	0.13882177033014204	0.21129166362174015	0.23191282239362282	0.371467877012159	0.4749070289753192	0.3485940165570661	4.1007898306987105	0.9487539160459137	1.1670286644976815	0.8583237081680966	0.9706118034207127	1.1731532580455932	0.8821286498220018	0.37111460578635425	0.19394803362971128	0.1629455956763468	0.2719917649075876	0.5313707984751761	1.0	1.0	-33801.90006396138	0.0	1.4718386076580598
29000	-33803.98025181528	-4.912150607170499	-33799.06810120811	0.5095634804979154	4.107785471035158	0.06768530802337087	0.4638065406475299	0.10719404268740104	0.14942450485144	0.12986571932081192	0.20369328938480305	0.22322555683545578	0.38244167414285896	0.4532511383955552	0.3607330289476696	2.7077903106249903	0.9394063415983159	1.1673500172428641	0.8646769959290275	0.9834041927299532	1.1806926123444825	0.8644698401553562	0.37111460578635425	0.19109054539171433	0.16332418906999271	0.27447065975193863	0.4700792742356912	1.0	1.0	-33799.06810120811	0.0	1.8267062471864697
30000	-33793.00090578262	-5.307202044713147	-33787.6937037379	0.5073847894457838	4.118612079609523	0.06696767075452317	0.44197870916717785	0.11277544839978106	0.14705401195057113	0.12127605932399284	0.20758410171070804	0.22215315943335373	0.41183873347053473	0.4897285785668364	0.3400141717714747	2.2490399781050185	0.9298085174087036	1.1947584468180092	0.8646769959290275	0.981302417897259	1.1832456423283786	0.8462079796186213	0.37111460578635425	0.19051754880997404	0.16842840152602764	0.269939443877644	0.47988918975676625	1.0	1.0	-33787.6937037379	0.0	1.2736216126136273
31000	-33781.45613817492	-5.2543251189115985	-33776.20181305601	0.4974934299963637	4.071580565417783	0.06707984607052245	0.43545166494634213	0.10676151114574503	0.1608608527335534	0.13731240930588054	0.213204531141484	0.2285569971120972	0.39876471059572205	0.4572848196046094	0.3437512425482025	3.6295145334719945	0.9267442666040645	1.2078096050005664	0.8711586849578637	0.9786697041421945	1.1843209526738163	0.8312967866214936	0.364946542420748	0.19668561217558028	0.16842840152602764	0.269939443877644	0.562258057368551	1.0	1.0	-33776.20181305601	0.0	1.9804248895826557
32000	-33778.85684093713	-5.074861569105273	-33773.781979368025	0.48806170812373006	4.110265563027552	0.06658768818284352	0.44899490036303824	0.10624285380852812	0.15311438343681721	0.1358783774458505	0.2093872783253116	0.22840322782902797	0.4183407004590014	0.4720843018703466	0.3477116026565768	2.8413864876732418	0.935899180738065	1.222145444989525	0.8558521275154902	0.9793479334033941	1.1835945901439058	0.8231607232096189	0.364946542420748	0.18839676028235902	0.16773941697886516	0.27891728031802776	0.562258057368551	1.0	1.0	-33773.781979368025	0.0	1.8969446965193355
33000	-33761.38044647173	-5.5169082331249335	-33755.863538238606	0.5197417545552165	4.307325579356681	0.06882676003215678	0.4870441005281516	0.1133977311306913	0.15739658283764463	0.14570723507697866	0.21442321899201336	0.23679784683755922	0.4158786895027099	0.4949665649492495	0.3708731554807666	2.9532923777798623	0.9588972230616705	1.2301522088615109	0.8536650943391899	0.9878659390795802	1.1898309665501137	0.7795885681079341	0.36741979618822024	0.190656179708277	0.16773941697886516	0.2741846071246375	0.4935368524158395	1.0	1.0	-33755.863538238606	0.0	1.3571761055594624
